theatre_name,city,state,lat,lon,confidence,query_used
Fountain Gate 14,South East Melbourne,Victoria (inc TAS),-38.014097,145.2998257,8.045242999919154e-05,"Fountain Gate 14, Australia"
M-City 6,South East Melbourne,Victoria (inc TAS),-37.9212268,145.1401803,0.0800804524299992,"M-City 6, Australia"
Launceston 4,Tas - North East,Victoria (inc TAS),-41.4277178,147.1029374,6.140154116116605e-05,"Launceston 4, Australia"
Burnie Metro 4,Tas - North West,Victoria (inc TAS),-41.0606319,145.9090239,0.0800540772106507,"Burnie Metro 4, Australia"
Devonport 4,Tas - North West,Victoria (inc TAS),-41.1801988,146.3435761,5.388036926828439e-05,"Devonport 4, Australia"
Highpoint 18,West Melbourne,Victoria (inc TAS),-38.1583526,144.2973794,6.163500419618552e-05,"Highpoint 18, Australia"
Melton 5,West Melbourne,Victoria (inc TAS),-37.684611,144.5855236,8.045242999919154e-05,"Melton 5, Australia"
Millers Junction 6,West Melbourne,Victoria (inc TAS),-37.8441755,144.8435057,0.0800804524299992,"Millers Junction 6, Australia"
Sunshine 20,West Melbourne,Victoria (inc TAS),-37.7883903,144.8450194,8.045242999919154e-05,"Sunshine 20, Australia"
Watergardens 8,West Melbourne,Victoria (inc TAS),-38.0699922,145.2512896,8.045242999919154e-05,"Watergardens 8, Australia"
Werribee 12,West Melbourne,Victoria (inc TAS),-37.9010788,144.6706365,8.045242999919154e-05,"Werribee 12, Australia"
Raine Square 13,Perth - Inner,Western Australia,-31.9514766,115.8574714,0.0400748538948653,"Raine Square 13, Western Australia, Australia"
Morley 8,Perth - North East,Western Australia,-31.8955013,115.8976358,7.485389486529362e-05,"Morley 8, Western Australia, Australia"
Innaloo 16,Perth - North West,Western Australia,-31.8937756,115.7957972,0.2800811484944052,"Innaloo 16, Western Australia, Australia"
Karrinyup 10,Perth - North West,Western Australia,-31.8705761,115.7787989,0.2844781372993679,"Karrinyup 10, Western Australia, Australia"
Carousel 14,Perth - South East,Western Australia,-32.0159862,115.9399371,0.0534081872281986,"Carousel 14, Western Australia, Australia"
Southlands 8,Perth - South East,Western Australia,-37.7265133,144.5940584,8.045242999919154e-05,"Southlands 8, Australia"
Garden City 8,Perth - South West,Western Australia,-37.837491,144.9199925,0.0800350019073777,"Garden City 8, Australia"
Millennium 4,Perth - South West,Western Australia,-33.833588,151.040926,8.246051728079679e-05,"Millennium 4, Australia"
Albany Orana 4,W.A - Wheat Belt,Western Australia,-34.99188,117.8563777,0.0533913977264057,"Albany Orana 4, Western Australia, Australia"
Canberra 15 & IMAX,Canberra,New South Wales (inc ACT),,,,
Canberra Electric 8,Canberra,New South Wales (inc ACT),-35.1493578,147.4681345,5.79713130387887e-05,"Canberra Electric, Australia"
Tuggeranong Limelight Cinema 8,Canberra,New South Wales (inc ACT),,,,
Lake Haven Metro 8,Central Coast,New South Wales (inc ACT),-33.2413011,151.5061336,5.5001907377691576e-05,"Lake Haven Metro, New South Wales, Australia"
Bathurst Metro 5,Central and Far West,New South Wales (inc ACT),,,,
Orange Odeon Cinema 5,Central and Far West,New South Wales (inc ACT),,,,
Central Sydney 13,City and Inner South,New South Wales (inc ACT),-33.7289266,151.0815284,8.246051728079679e-05,"Central Sydney, New South Wales, Australia"
Darlinghurst Govinda's Movie Room 2,City and Inner South,New South Wales (inc ACT),,,,
Surry Hills Golden Age Cinema & Bar 1,City and Inner South,New South Wales (inc ACT),,,,
Sawtell Cinema Centre 2,Coffs Harbour - Grafton,New South Wales (inc ACT),,,,
Palace Moore Park 4,Eastern Suburbs,New South Wales (inc ACT),-33.894308,151.2257818,8.246051728079679e-05,"Palace Moore Park, New South Wales, Australia"
Randwick Ritz 9,Eastern Suburbs,New South Wales (inc ACT),-33.9201716,151.2432906,8.246051728079679e-05,"Randwick Ritz, Eastern Suburbs, New South Wales, Australia"
"Green Hills, Maitland 7",Hunter Valley exc Newcastle,New South Wales (inc ACT),-32.762662,151.5910236,0.3867453017489014,"Green Hills, Maitland, New South Wales, Australia"
Raymond Terrace Scotty's 5,Hunter Valley exc Newcastle,New South Wales (inc ACT),,,,
Warrawong Gala 2,Illawarra,New South Wales (inc ACT),,,,
Majestic Cinemas Port Macquarie 5,Mid North Coast,New South Wales (inc ACT),-31.4294311,152.9085245,3.750133516437045e-05,"Majestic Cinemas Port Macquarie, New South Wales, Australia"
Albury-Wodonga Regent 9,Murray and Riverina,New South Wales (inc ACT),,,,
Griffith City Cinema 4,Murray and Riverina,New South Wales (inc ACT),,,,
Wagga Forum 6,Murray and Riverina,New South Wales (inc ACT),,,,
Armidale Belgrave 2,New England and North West,New South Wales (inc ACT),,,,
Tamworth Forum Cinema 6,New England and North West,New South Wales (inc ACT),,,,
Chatswood Mandarin 8,North Sydney - Hornsby,New South Wales (inc ACT),,,,
Chatswood Westfield 6,North Sydney - Hornsby,New South Wales (inc ACT),-33.7969658,151.1836331,0.30093685344584264,"Chatswood Westfield, New South Wales, Australia"
Warriewood United 7,Northern Beaches,New South Wales (inc ACT),-33.6937837,151.3026016,8.246051728079679e-05,"Warriewood United, Northern Beaches, New South Wales, Australia"
Warringah Mall 9,Northern Beaches,New South Wales (inc ACT),-33.7673546,151.2651537,8.246051728079679e-05,"Warringah Mall, Northern Beaches, New South Wales, Australia"
Top Ryde 8,Parramatta & Ryde,New South Wales (inc ACT),-33.8124512,151.1065649,0.32221217881594816,"Top Ryde, New South Wales, Australia"
Tweed City 6,Richmond - Tweed,New South Wales (inc ACT),-28.172694,153.5426089,6.701228351258133e-05,"Tweed City, New South Wales, Australia"
Dumaresq Cinemas 3,South West Sydney,New South Wales (inc ACT),-34.0667506,150.81226,8.246051728079679e-05,"Dumaresq Cinemas, New South Wales, Australia"
Ed Square 6,South West Sydney,New South Wales (inc ACT),-33.8724015,151.0940759,0.0667491271839475,"Ed Square, South West Sydney, New South Wales, Australia"
Narellan United 8,South West Sydney,New South Wales (inc ACT),,,,
Cronulla Hoyts 6,Sutherland & St George,New South Wales (inc ACT),,,,
Katoomba Edge Cinema 5,West and Blue Mountains,New South Wales (inc ACT),,,,
Alice Springs Araluen Arts Centre 1,N.T Outback,Northern Territory,,,,
Morayfield Limelight Cinema 7,Brisbane - North,Queensland,,,,
Indooroopilly Eldorado United 8,Brisbane - West,Queensland,,,,
Cairns Earlville 6,Cairns Region,Queensland,-16.9445096,145.7393959,6.312123292892374e-05,"Cairns Earlville, Queensland, Australia"
Dendy Southport 11,Gold Coast,Queensland,,,,
Harbourtown 16,Gold Coast,Queensland,-34.9459035,138.5172891,7.489051651784569e-05,"Harbourtown, Australia"
Pacific Fair 11 & IMAX,Gold Coast,Queensland,,,,
Southport Australia Fair 10,Gold Coast,Queensland,,,,
Hoyts Ipswich 6,Ipswich Region,Queensland,-27.6135982,152.7588076,5.7777523460700654e-05,"Hoyts Ipswich, Queensland, Australia"
Ipswich Limelight Cinema 8,Ipswich Region,Queensland,,,,
Mount Isa Star Cinema 3,QLD - Outback,Queensland,,,,
Toowoomba Strand 5,Toowoomba - Darling Downs,Queensland,,,,
Townsville Cannon Park 6,Townsville Region,Queensland,,,,
Hervey Bay Cinema 7,Wide Bay,Queensland,,,,
Adelaide Mercury Cinema 1,Adelaide - Central and Hills,South Australia,,,,
Prospect Palace Nova 14,Adelaide - Central and Hills,South Australia,-34.8885007,138.5937745,7.489051651784569e-05,"Prospect Palace Nova, South Australia, Australia"
Tea Tree Plaza 9,Adelaide - North,South Australia,-34.8314374,138.6928226,0.2954185985350713,"Tea Tree Plaza, Adelaide - North, South Australia, Australia"
"Mitcham 7, Torrens Park",Adelaide - South,South Australia,,,,
Hoyts Arndale 8,Adelaide - West,South Australia,,,,
Port Augusta Cinema 1,S.A  - Outback,South Australia,,,,
Mt. Gambier Oatmill Theatre 3,S.A - South East,South Australia,,,,
Renmark Chaffey Theatre 1,S.A - South East,South Australia,,,,
Ballarat Delacombe Showbiz 6,Ballarat,Victoria (inc TAS),,,,
Palace Regent Ballarat 10,Ballarat,Victoria (inc TAS),,,,
Nova Carlton Cinema 16,Central Inner Melbourne,Victoria (inc TAS),,,,
St Kilda Astor 1,Central Inner Melbourne,Victoria (inc TAS),,,,
Thornbury Picture House 1,Central Inner Melbourne,Victoria (inc TAS),-37.7539366,145.0017325,8.045242999919154e-05,"Thornbury Picture House, Australia"
Hawthorn Lido Cinema 10,Inner East Melbourne,Victoria (inc TAS),,,,
